DATE,VIX,MOVE,SKEW,OVX,VVIX,HY_OAS,CCC_OAS,IG_OAS,EM_OAS,T10Y2Y,DXY,Credit_Quality_Spread,VIX_z,MOVE_z,SKEW_z,OVX_z,VVIX_z,HY_z,CCC_z,IG_z,EM_z,T10Y2Y_z,DXY_z,VIX_pct,MOVE_pct,SKEW_pct,OVX_pct,VVIX_pct,HY_pct,CCC_pct,IG_pct,EM_pct,T10Y2Y_pct,DXY_pct,CQS_pct,PC1,PC1_smooth,PC2,PC1_pct,Regime,Driver
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-02,25.39,130.8699951171875,116.22000122070312,,,,,,,2.27,102.9800033569336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-03,24.68,130.8699951171875,114.63999938964844,,,,,,,2.26,102.47000122070312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-06,24.91,124.83000183105469,113.04000091552734,,,,,,,2.25,101.97000122070312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-07,25.13,117.52999877929688,112.79000091552734,,,,,,,2.27,102.56999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-08,25.53,119.41999816894531,112.16000366210938,,,,,,,2.29,101.87000274658203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-09,24.25,125.08000183105469,112.5999984741211,,,,,,,2.32,101.94000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-10,24.32,120.0199966430664,112.80000305175781,,,,,,,2.37,101.2300033569336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-13,24.9,119.79000091552734,110.61000061035156,,,,,,,2.34,101.47000122070312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-14,24.57,114.16000366210938,114.01000213623047,,,,,,,2.34,101.20999908447266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-15,25.51,115.3499984741211,111.56999969482422,,,,,,,2.35,101.33999633789062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-16,25.01,115.1500015258789,114.0,,,,,,,2.35,100.79000091552734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-17,25.7,116.0199966430664,112.68000030517578,,,,,,,2.35,100.55000305175781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-20,25.7,116.0199966430664,112.68000030517578,,,,,,,2.35,100.55000305175781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-21,27.59,114.80000305175781,112.80999755859375,,,,,,,2.34,100.2300033569336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-22,29.01,109.94000244140625,111.31999969482422,,,,,,,2.29,100.2300033569336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-23,27.53,107.7300033569336,110.55000305175781,,,,,,,2.29,99.86000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-24,31.51,109.41000366210938,112.06999969482422,,,,,,,2.28,99.22000122070312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-27,34.69,117.7300033569336,111.30999755859375,,,,,,,2.28,99.26000213623047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-28,31.93,116.88999938964844,110.23999786376953,,,,,,,2.3,99.4800033569336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
2003-01-29,31.26,114.48999786376953,109.72000122070312,,,,,,,2.29,99.27999877929688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
